,LED,Timestamp (unix),ADC
187,680,1660195967698,3452
190,415,1660195967081,6801
191,445,1660195967081,36856
192,480,1660195967081,11042
193,515,1660195967081,7350
194,555,1660195967081,7097
195,590,1660195967081,10900
196,630,1660195967081,5544
197,680,1660195967081,3441
200,415,1660195966462,6786
201,445,1660195966462,36914
202,480,1660195966462,11017
203,515,1660195966462,7331
204,555,1660195966462,7126
205,590,1660195966462,10932
206,630,1660195966462,5563
207,680,1660195966462,3451
210,415,1660195965844,6783
211,445,1660195965844,36820
212,480,1660195965844,11005
213,515,1660195965844,7327
214,555,1660195965844,7098
215,590,1660195965844,10895
216,630,1660195965844,5544
217,680,1660195965844,3441
220,415,1660195965225,6783
221,445,1660195965225,36794
222,480,1660195965225,11005
223,515,1660195965225,7324
224,555,1660195965225,7100
225,590,1660195965225,10888
226,630,1660195965225,5540
227,680,1660195965225,3442
230,415,1660195965190,6804
231,445,1660195965190,36818
232,480,1660195965190,11032
233,515,1660195965190,7343
234,555,1660195965190,7098
235,590,1660195965190,10891
236,630,1660195965190,5541
237,680,1660195965190,3441
240,415,1660195965077,6801
241,445,1660195965077,36818
242,480,1660195965077,11015
243,515,1660195965077,7339
244,555,1660195965077,7126
245,590,1660195965077,10934
246,630,1660195965077,5560
247,680,1660195965077,3453
250,415,1660195963375,6815
251,445,1660195963375,36909
252,480,1660195963375,11046
253,515,1660195963375,7354
254,555,1660195963375,7111
255,590,1660195963375,10912
256,630,1660195963375,5548
257,680,1660195963375,3447
260,415,1660195962759,6809
261,445,1660195962759,36907
262,480,1660195962759,11026
263,515,1660195962759,7344
264,555,1660195962759,7123
265,590,1660195962759,10937
266,630,1660195962759,5558
267,680,1660195962759,3451
270,415,1660195962142,3944
271,445,1660195962142,18938
272,480,1660195962142,6365
273,515,1660195962142,8476
274,555,1660195962142,7121
275,590,1660195962142,10931
276,630,1660195962142,5555
277,680,1660195962142,3453
280,415,1660195961525,1100
281,445,1660195961525,1245
282,480,1660195961525,1759
283,515,1660195961525,9610
284,555,1660195961525,21891
285,590,1660195961525,17182
286,630,1660195961525,15275
287,680,1660195961525,11242
290,415,1660195960907,1095
291,445,1660195960907,1241
292,480,1660195960907,1752
293,515,1660195960907,9575
294,555,1660195960907,21970
295,590,1660195960907,17252
296,630,1660195960907,15330
297,680,1660195960907,11281
300,415,1660195960293,1095
301,445,1660195960293,1241
302,480,1660195960293,1755
303,515,1660195960293,9580
304,555,1660195960293,21893
305,590,1660195960293,17181
306,630,1660195960293,15274
307,680,1660195960293,11241
310,415,1660195959675,1100
311,445,1660195959675,1246
312,480,1660195959675,1762
313,515,1660195959675,9615
314,555,1660195959675,22001
315,590,1660195959675,17248
316,630,1660195959675,15331
317,680,1660195959675,11276
320,415,1660195959057,1097
321,445,1660195959057,1242
322,480,1660195959057,1756
323,515,1660195959057,9589
324,555,1660195959057,21981
325,590,1660195959057,17239
326,630,1660195959057,15322
327,680,1660195959057,11275
330,415,1660195958439,1097
331,445,1660195958439,1241
332,480,1660195958439,1756
333,515,1660195958439,9583
334,555,1660195958439,21965
335,590,1660195958439,17200
336,630,1660195958439,15287
337,680,1660195958439,11238
340,415,1660195957822,1100
341,445,1660195957822,1246
342,480,1660195957822,1762
343,515,1660195957822,9619
344,555,1660195957822,21920
345,590,1660195957822,17186
346,630,1660195957822,15276
347,680,1660195957822,11238
350,415,1660195957510,1094
351,445,1660195957510,1242
352,480,1660195957510,1757
353,515,1660195957510,9589
354,555,1660195957510,21982
355,590,1660195957510,17217
356,630,1660195957510,15311
357,680,1660195957510,11258
360,415,1660195957484,1095
361,445,1660195957484,1241
362,480,1660195957484,1759
363,515,1660195957484,9581
364,555,1660195957484,21936
365,590,1660195957484,17174
366,630,1660195957484,15260
367,680,1660195957484,11242
370,415,1660195955350,1094
371,445,1660195955350,1240
372,480,1660195955350,1759
373,515,1660195955350,9582
374,555,1660195955350,21964
375,590,1660195955350,17197
376,630,1660195955350,15286
377,680,1660195955350,11263
380,415,1660195954746,1096
381,445,1660195954746,1244
382,480,1660195954746,1763
383,515,1660195954746,9608
384,555,1660195954746,21981
385,590,1660195954746,17199
386,630,1660195954746,15278
387,680,1660195954746,11246
390,415,1660195954745,1095
391,445,1660195954745,1239
392,480,1660195954745,1757
393,515,1660195954745,9577
394,555,1660195954745,22016
395,590,1660195954745,17229
396,630,1660195954745,15309
397,680,1660195954745,11269
400,415,1660195954672,1094
401,445,1660195954672,1242
402,480,1660195954672,1761
403,515,1660195954672,9594
404,555,1660195954672,21944
405,590,1660195954672,17166
406,630,1660195954672,15262
407,680,1660195954672,11222
410,415,1660195952882,1098
411,445,1660195952882,1245
412,480,1660195952882,1767
413,515,1660195952882,9622
414,555,1660195952882,22007
415,590,1660195952882,17195
416,630,1660195952882,15288
417,680,1660195952882,11238
420,415,1660195952264,1098
421,445,1660195952264,1245
422,480,1660195952264,1764
423,515,1660195952264,9617
424,555,1660195952264,21948
425,590,1660195952264,17172
426,630,1660195952264,15254
427,680,1660195952264,11225
430,415,1660195951982,1098
431,445,1660195951982,1244
432,480,1660195951982,1765
433,515,1660195951982,9622
434,555,1660195951982,21949
435,590,1660195951982,17185
436,630,1660195951982,15266
437,680,1660195951982,11242
440,415,1660195951930,1097
441,445,1660195951930,1245
442,480,1660195951930,1763
443,515,1660195951930,9614
444,555,1660195951930,21961
445,590,1660195951930,17178
446,630,1660195951930,15269
447,680,1660195951930,11250
450,415,1660195950412,1097
451,445,1660195950412,1245
452,480,1660195950412,1770
453,515,1660195950412,9620
454,555,1660195950412,22016
455,590,1660195950412,17215
456,630,1660195950412,15292
457,680,1660195950412,11265
460,415,1660195949794,1092
461,445,1660195949794,1240
462,480,1660195949794,1766
463,515,1660195949794,9592
464,555,1660195949794,22056
465,590,1660195949794,17222
466,630,1660195949794,15284
467,680,1660195949794,11261
470,415,1660195949175,1094
471,445,1660195949175,1241
472,480,1660195949175,1761
473,515,1660195949175,9594
474,555,1660195949175,21989
475,590,1660195949175,17197
476,630,1660195949175,15276
477,680,1660195949175,11247
480,415,1660195948558,1099
481,445,1660195948558,1244
482,480,1660195948558,1767
483,515,1660195948558,9630
484,555,1660195948558,22030
485,590,1660195948558,17236
486,630,1660195948558,15313
487,680,1660195948558,11277
490,415,1660195947939,1098
491,445,1660195947939,1245
492,480,1660195947939,1767
493,515,1660195947939,9630
494,555,1660195947939,22035
495,590,1660195947939,17232
496,630,1660195947939,15304
497,680,1660195947939,11262
500,415,1660195947322,1097
501,445,1660195947322,1245
502,480,1660195947322,1776
503,515,1660195947322,9640
504,555,1660195947322,22048
505,590,1660195947322,17242
506,630,1660195947322,15313
507,680,1660195947322,11274
510,415,1660195946703,1099
511,445,1660195946703,1246
512,480,1660195946703,1768
513,515,1660195946703,9642
514,555,1660195946703,21892
515,590,1660195946703,17274
516,630,1660195946703,15380
517,680,1660195946703,11271
520,415,1660195946087,1103
521,445,1660195946087,1252
522,480,1660195946087,1795
523,515,1660195946087,9710
524,555,1660195946087,21832
525,590,1660195946087,17230
526,630,1660195946087,15351
527,680,1660195946087,11250
530,415,1660195945470,1097
531,445,1660195945470,1250
532,480,1660195945470,1817
533,515,1660195945470,9717
534,555,1660195945470,22363
535,590,1660195945470,17309
536,630,1660195945470,15313
537,680,1660195945470,11326
540,415,1660195944852,1100
541,445,1660195944852,1252
542,480,1660195944852,1812
543,515,1660195944852,9721
544,555,1660195944852,22344
545,590,1660195944852,17280
546,630,1660195944852,15287
547,680,1660195944852,11318
550,415,1660195944235,1106
551,445,1660195944235,1262
552,480,1660195944235,2036
553,515,1660195944235,10142
554,555,1660195944235,22386
555,590,1660195944235,17278
556,630,1660195944235,15272
557,680,1660195944235,11310
560,680,1660195943891,11352
563,415,1660195943891,1060
564,445,1660195943891,1187
565,480,1660195943891,1489
566,515,1660195943891,8871
567,555,1660195943891,23646
568,590,1660195943891,18525
569,630,1660195943891,15153
570,415,1660195943789,745
571,445,1660195943789,52
572,480,1660195943789,285
573,515,1660195943789,1183
574,555,1660195943789,603
575,590,1660195943789,7236
576,630,1660195943789,907
577,680,1660195943789,2084
580,415,1660195942794,853
581,445,1660195942794,284
582,480,1660195942794,535
583,515,1660195942794,3885
584,555,1660195942794,813
585,590,1660195942794,8330
586,630,1660195942794,5107
587,680,1660195942794,3253
590,415,1660195941153,999
591,445,1660195941153,810
592,480,1660195941153,874
593,515,1660195941153,5568
594,555,1660195941153,11823
595,590,1660195941153,11184
596,630,1660195941153,10409
597,680,1660195941153,5630
600,415,1660195940535,1082
601,445,1660195940535,1185
602,480,1660195940535,1623
603,515,1660195940535,9091
604,555,1660195940535,4074
605,590,1660195940535,10086
606,630,1660195940535,7309
607,680,1660195940535,3971
610,415,1660195939916,1112
611,445,1660195939916,1270
612,480,1660195939916,2278
613,515,1660195939916,10596
614,555,1660195939916,24450
615,590,1660195939916,19466
616,630,1660195939916,15968
617,680,1660195939916,12040
620,415,1660195939797,1102
621,445,1660195939797,1255
622,480,1660195939797,2041
623,515,1660195939797,10106
624,555,1660195939797,22516
625,590,1660195939797,18405
626,630,1660195939797,15847
627,680,1660195939797,11986
630,415,1660195939794,1067
631,445,1660195939794,1202
632,480,1660195939794,2244
633,515,1660195939794,10502
634,555,1660195939794,23843
635,590,1660195939794,18531
636,630,1660195939794,15631
637,680,1660195939794,11680
640,415,1660195938070,1088
641,445,1660195938070,1225
642,480,1660195938070,1491
643,515,1660195938070,9073
644,555,1660195938070,23426
645,590,1660195938070,17236
646,630,1660195938070,15222
647,680,1660195938070,11243
650,415,1660195937452,1036
651,445,1660195937452,1170
652,480,1660195937452,1541
653,515,1660195937452,8879
654,555,1660195937452,22612
655,590,1660195937452,16490
656,630,1660195937452,14711
657,680,1660195937452,10611
660,415,1660195936835,1028
661,445,1660195936835,1101
662,480,1660195936835,1562
663,515,1660195936835,8897
664,555,1660195936835,13619
665,590,1660195936835,13326
666,630,1660195936835,12530
667,680,1660195936835,7541
670,415,1660195936219,636
671,445,1660195936219,713
672,480,1660195936219,619
673,515,1660195936219,5316
674,555,1660195936219,16951
675,590,1660195936219,16620
676,630,1660195936219,11016
677,680,1660195936219,6540
680,415,1660195935600,848
681,445,1660195935600,85
682,480,1660195935600,661
683,515,1660195935600,1426
684,555,1660195935600,6478
685,590,1660195935600,7849
686,630,1660195935600,1626
687,680,1660195935600,4049
690,415,1660195935494,808
691,445,1660195935494,65
692,480,1660195935494,618
693,515,1660195935494,418
694,555,1660195935494,2827
695,590,1660195935494,6162
696,630,1660195935494,725
697,680,1660195935494,1358
700,415,1660195935415,847
701,445,1660195935415,82
702,480,1660195935415,663
703,515,1660195935415,760
704,555,1660195935415,3394
705,590,1660195935415,6701
706,630,1660195935415,770
707,680,1660195935415,2120
710,415,1660195933752,933
711,445,1660195933752,232
712,480,1660195933752,772
713,515,1660195933752,3182
714,555,1660195933752,6028
715,590,1660195933752,8065
716,630,1660195933752,956
717,680,1660195933752,3886
720,415,1660195933131,921
721,445,1660195933131,264
722,480,1660195933131,766
723,515,1660195933131,3289
724,555,1660195933131,6883
725,590,1660195933131,8677
726,630,1660195933131,1057
727,680,1660195933131,4572
730,415,1660195932515,359
731,445,1660195932515,29
732,480,1660195932515,190
733,515,1660195932515,109
734,555,1660195932515,6817
735,590,1660195932515,7794
736,630,1660195932515,4021
737,680,1660195932515,3758
740,415,1660195931898,618
741,445,1660195931898,9239
742,480,1660195931898,24854
743,515,1660195931898,5194
744,555,1660195931898,1134
745,590,1660195931898,2122
746,630,1660195931898,1253
747,680,1660195931898,875
750,415,1660195931281,244
751,445,1660195931281,90
752,480,1660195931281,3044
753,515,1660195931281,636
754,555,1660195931281,1187
755,590,1660195931281,1913
756,630,1660195931281,1570
757,680,1660195931281,882
760,415,1660195930661,97
761,445,1660195930661,891
762,480,1660195930661,4567
763,515,1660195930661,1419
764,555,1660195930661,785
765,590,1660195930661,1354
766,630,1660195930661,1394
767,680,1660195930661,723
770,415,1660195930047,17
771,445,1660195930047,16
772,480,1660195930047,105
773,515,1660195930047,67
774,555,1660195930047,232
775,590,1660195930047,493
776,630,1660195930047,664
777,680,1660195930047,314
780,415,1660195929429,0
781,445,1660195929429,0
782,480,1660195929429,0
783,515,1660195929429,0
784,555,1660195929429,8
785,590,1660195929429,11
786,630,1660195929429,100
787,680,1660195929429,60
790,415,1660195928814,0
791,445,1660195928814,0
792,480,1660195928814,0
793,515,1660195928814,0
794,555,1660195928814,1
795,590,1660195928814,3
796,630,1660195928814,5
797,680,1660195928814,2
800,415,1660195928196,0
801,445,1660195928196,0
802,480,1660195928196,0
803,515,1660195928196,0
804,555,1660195928196,1
805,590,1660195928196,1
806,630,1660195928196,2
807,680,1660195928196,0
810,415,1660195927581,0
811,445,1660195927581,0
812,480,1660195927581,0
813,515,1660195927581,0
814,555,1660195927581,0
815,590,1660195927581,0
816,630,1660195927581,0
817,680,1660195927581,0
820,415,1660195926964,0
821,445,1660195926964,0
822,480,1660195926964,0
823,515,1660195926964,0
824,555,1660195926964,0
825,590,1660195926964,0
826,630,1660195926964,0
827,680,1660195926964,0
830,415,1660195926381,0
831,445,1660195926381,0
832,480,1660195926381,0
833,515,1660195926381,0
834,555,1660195926381,0
835,590,1660195926381,0
836,630,1660195926381,0
837,680,1660195926381,0
840,415,1660195926380,0
841,445,1660195926380,0
842,480,1660195926380,0
843,515,1660195926380,0
844,555,1660195926380,0
845,590,1660195926380,0
846,630,1660195926380,0
847,680,1660195926380,0
850,415,1660195926351,0
851,445,1660195926351,0
852,480,1660195926351,0
853,515,1660195926351,0
854,555,1660195926351,0
855,590,1660195926351,0
856,630,1660195926351,0
857,680,1660195926351,0
860,415,1660195924496,0
861,445,1660195924496,0
862,480,1660195924496,0
863,515,1660195924496,0
864,555,1660195924496,0
865,590,1660195924496,0
866,630,1660195924496,0
867,680,1660195924496,0
870,415,1660195924026,0
871,445,1660195924026,0
872,480,1660195924026,0
873,515,1660195924026,0
874,555,1660195924026,0
875,590,1660195924026,0
876,630,1660195924026,0
877,680,1660195924026,0
880,415,1660195923929,0
881,445,1660195923929,0
882,480,1660195923929,0
883,515,1660195923929,0
884,555,1660195923929,0
885,590,1660195923929,0
886,630,1660195923929,0
887,680,1660195923929,0
890,415,1660195922033,0
891,445,1660195922033,0
892,480,1660195922033,0
893,515,1660195922033,0
894,555,1660195922033,0
895,590,1660195922033,0
896,630,1660195922033,0
897,680,1660195922033,0
900,680,1660195921466,0
903,415,1660195921466,0
904,445,1660195921466,0
905,480,1660195921466,0
906,515,1660195921466,0
907,555,1660195921466,0
908,590,1660195921466,0
909,630,1660195921466,0
910,415,1660195921350,0
911,445,1660195921350,0
912,480,1660195921350,0
913,515,1660195921350,0
914,555,1660195921350,0
915,590,1660195921350,0
916,630,1660195921350,0
917,680,1660195921350,0
920,415,1660195919566,0
921,445,1660195919566,0
922,480,1660195919566,0
923,515,1660195919566,0
924,555,1660195919566,0
925,590,1660195919566,0
926,630,1660195919566,0
927,680,1660195919566,0
930,415,1660195919008,0
931,445,1660195919008,0
932,480,1660195919008,0
933,515,1660195919008,0
934,555,1660195919008,0
935,590,1660195919008,0
936,630,1660195919008,0
937,680,1660195919008,0
940,415,1660195919007,0
941,445,1660195919007,0
942,480,1660195919007,0
943,515,1660195919007,0
944,555,1660195919007,0
945,590,1660195919007,0
946,630,1660195919007,0
947,680,1660195919007,0
950,415,1660195918896,0
951,445,1660195918896,0
952,480,1660195918896,0
953,515,1660195918896,0
954,555,1660195918896,0
955,590,1660195918896,0
956,630,1660195918896,0
957,680,1660195918896,0
960,415,1660195917101,0
961,445,1660195917101,0
962,480,1660195917101,0
963,515,1660195917101,0
964,555,1660195917101,0
965,590,1660195917101,0
966,630,1660195917101,0
967,680,1660195917101,0
970,415,1660195916485,0
971,445,1660195916485,0
972,480,1660195916485,0
973,515,1660195916485,0
974,555,1660195916485,0
975,590,1660195916485,0
976,630,1660195916485,0
977,680,1660195916485,0
980,415,1660195915870,0
981,445,1660195915870,0
982,480,1660195915870,0
983,515,1660195915870,0
984,555,1660195915870,0
985,590,1660195915870,0
986,630,1660195915870,0
987,680,1660195915870,0
990,415,1660195915254,0
991,445,1660195915254,0
992,480,1660195915254,0
993,515,1660195915254,0
994,555,1660195915254,0
995,590,1660195915254,0
996,630,1660195915254,0
997,680,1660195915254,0
1000,415,1660195914810,0
1001,445,1660195914810,0
1002,480,1660195914810,0
1003,515,1660195914810,0
1004,555,1660195914810,0
1005,590,1660195914810,0
1006,630,1660195914810,0
1007,680,1660195914810,0
1010,415,1660195914809,0
1011,445,1660195914809,0
1012,480,1660195914809,0
1013,515,1660195914809,0
1014,555,1660195914809,0
1015,590,1660195914809,0
1016,630,1660195914809,0
1017,680,1660195914809,0
1020,415,1660195914700,0
1021,445,1660195914700,0
1022,480,1660195914700,0
1023,515,1660195914700,0
1024,555,1660195914700,0
1025,590,1660195914700,0
1026,630,1660195914700,0
1027,680,1660195914700,0
1030,415,1660195912792,0
1031,445,1660195912792,0
1032,480,1660195912792,0
1033,515,1660195912792,0
1034,555,1660195912792,0
1035,590,1660195912792,0
1036,630,1660195912792,0
1037,680,1660195912792,0
1040,415,1660195912176,0
1041,445,1660195912176,0
1042,480,1660195912176,0
1043,515,1660195912176,0
1044,555,1660195912176,0
1045,590,1660195912176,0
1046,630,1660195912176,0
1047,680,1660195912176,0
1050,415,1660195911561,0
1051,445,1660195911561,0
1052,480,1660195911561,0
1053,515,1660195911561,0
1054,555,1660195911561,0
1055,590,1660195911561,0
1056,630,1660195911561,0
1057,680,1660195911561,0
1060,415,1660195910945,0
1061,445,1660195910945,0
1062,480,1660195910945,0
1063,515,1660195910945,0
1064,555,1660195910945,0
1065,590,1660195910945,0
1066,630,1660195910945,0
1067,680,1660195910945,0
1070,415,1660195910329,0
1071,445,1660195910329,0
1072,480,1660195910329,0
1073,515,1660195910329,0
1074,555,1660195910329,0
1075,590,1660195910329,0
1076,630,1660195910329,0
1077,680,1660195910329,0
1080,415,1660195909711,0
1081,445,1660195909711,0
1082,480,1660195909711,0
1083,515,1660195909711,0
1084,555,1660195909711,0
1085,590,1660195909711,0
1086,630,1660195909711,0
1087,680,1660195909711,0
1090,415,1660195909094,0
1091,445,1660195909094,0
1092,480,1660195909094,0
1093,515,1660195909094,0
1094,555,1660195909094,0
1095,590,1660195909094,0
1096,630,1660195909094,0
1097,680,1660195909094,0
1100,415,1660195909074,0
1101,445,1660195909074,0
1102,480,1660195909074,0
1103,515,1660195909074,0
1104,555,1660195909074,0
1105,590,1660195909074,0
1106,630,1660195909074,0
1107,680,1660195909074,0
1110,415,1660195908988,0
1111,445,1660195908988,0
1112,480,1660195908988,0
1113,515,1660195908988,0
1114,555,1660195908988,0
1115,590,1660195908988,0
1116,630,1660195908988,0
1117,680,1660195908988,0
1120,415,1660195907248,0
1121,445,1660195907248,0
1122,480,1660195907248,0
1123,515,1660195907248,0
1124,555,1660195907248,0
1125,590,1660195907248,0
1126,630,1660195907248,0
1127,680,1660195907248,0
1130,415,1660195906630,0
1131,445,1660195906630,0
1132,480,1660195906630,0
1133,515,1660195906630,0
1134,555,1660195906630,0
1135,590,1660195906630,0
1136,630,1660195906630,0
1137,680,1660195906630,0
1140,415,1660195906015,0
1141,445,1660195906015,0
1142,480,1660195906015,0
1143,515,1660195906015,0
1144,555,1660195906015,0
1145,590,1660195906015,0
1146,630,1660195906015,0
1147,680,1660195906015,0
1150,415,1660195905396,0
1151,445,1660195905396,0
1152,480,1660195905396,0
1153,515,1660195905396,0
1154,555,1660195905396,0
1155,590,1660195905396,0
1156,630,1660195905396,0
1157,680,1660195905396,0
1160,415,1660195839123,0
1161,445,1660195839123,0
1162,480,1660195839123,0
1163,515,1660195839123,3
1164,555,1660195839123,486
1165,590,1660195839123,7181
1166,630,1660195839123,25393
1167,680,1660195839123,528
1170,415,1660195838513,0
1171,445,1660195838513,0
1172,480,1660195838513,0
1173,515,1660195838513,1
1174,555,1660195838513,5
1175,590,1660195838513,7
1176,630,1660195838513,7
1177,680,1660195838513,4
1180,415,1660195837898,0
1181,445,1660195837898,0
1182,480,1660195837898,0
1183,515,1660195837898,0
1184,555,1660195837898,8
1185,590,1660195837898,11
1186,630,1660195837898,7
1187,680,1660195837898,3
1190,415,1660195837281,0
1191,445,1660195837281,0
1192,480,1660195837281,0
1193,515,1660195837281,0
1194,555,1660195837281,8
1195,590,1660195837281,14
1196,630,1660195837281,7
1197,680,1660195837281,3
1200,415,1660195836664,0
1201,445,1660195836664,0
1202,480,1660195836664,0
1203,515,1660195836664,0
1204,555,1660195836664,21
1205,590,1660195836664,17
1206,630,1660195836664,8
1207,680,1660195836664,5
1210,415,1660195836045,0
1211,445,1660195836045,0
1212,480,1660195836045,0
1213,515,1660195836045,3
1214,555,1660195836045,9
1215,590,1660195836045,6
1216,630,1660195836045,6
1217,680,1660195836045,4
1220,415,1660195835430,0
1221,445,1660195835430,0
1222,480,1660195835430,1
1223,515,1660195835430,4
1224,555,1660195835430,14
1225,590,1660195835430,11
1226,630,1660195835430,15
1227,680,1660195835430,9
1230,415,1660195834813,6
1231,445,1660195834813,0
1232,480,1660195834813,1
1233,515,1660195834813,23
1234,555,1660195834813,14
1235,590,1660195834813,22
1236,630,1660195834813,5
1237,680,1660195834813,2
1240,415,1660195834197,36
1241,445,1660195834197,0
1242,480,1660195834197,2
1243,515,1660195834197,57
1244,555,1660195834197,69
1245,590,1660195834197,560
1246,630,1660195834197,7
1247,680,1660195834197,7
1250,415,1660195833579,230
1251,445,1660195833579,10
1252,480,1660195833579,62
1253,515,1660195833579,178
1254,555,1660195833579,1121
1255,590,1660195833579,1740
1256,630,1660195833579,44
1257,680,1660195833579,132
1260,415,1660195832962,20
1261,445,1660195832962,6
1262,480,1660195832962,11
1263,515,1660195832962,68
1264,555,1660195832962,201
1265,590,1660195832962,184
1266,630,1660195832962,32
1267,680,1660195832962,15
1270,415,1660195832346,76
1271,445,1660195832346,342
1272,480,1660195832346,91
1273,515,1660195832346,3268
1274,555,1660195832346,5539
1275,590,1660195832346,1926
1276,630,1660195832346,602
1277,680,1660195832346,40
1280,415,1660195831730,283
1281,445,1660195831730,402
1282,480,1660195831730,197
1283,515,1660195831730,3991
1284,555,1660195831730,20712
1285,590,1660195831730,7779
1286,630,1660195831730,1554
1287,680,1660195831730,223
1290,415,1660195831113,737
1291,445,1660195831113,583
1292,480,1660195831113,589
1293,515,1660195831113,6452
1294,555,1660195831113,22821
1295,590,1660195831113,7728
1296,630,1660195831113,1528
1297,680,1660195831113,603
1300,415,1660195830497,862
1301,445,1660195830497,754
1302,480,1660195830497,827
1303,515,1660195830497,7760
1304,555,1660195830497,28072
1305,590,1660195830497,9943
1306,630,1660195830497,1920
1307,680,1660195830497,1250
1310,415,1660195829878,860
1311,445,1660195829878,754
1312,480,1660195829878,826
1313,515,1660195829878,7747
1314,555,1660195829878,28047
1315,590,1660195829878,9951
1316,630,1660195829878,1921
1317,680,1660195829878,1252
1320,415,1660195829263,864
1321,445,1660195829263,756
1322,480,1660195829263,828
1323,515,1660195829263,7778
1324,555,1660195829263,28008
1325,590,1660195829263,9926
1326,630,1660195829263,1917
1327,680,1660195829263,1249
1330,415,1660195828645,862
1331,445,1660195828645,754
1332,480,1660195828645,827
1333,515,1660195828645,7749
1334,555,1660195828645,28106
1335,590,1660195828645,9957
1336,630,1660195828645,1924
1337,680,1660195828645,1254
1340,415,1660195828383,861
1341,445,1660195828383,755
1342,480,1660195828383,827
1343,515,1660195828383,7755
1344,555,1660195828383,28057
1345,590,1660195828383,9949
1346,630,1660195828383,1923
1347,680,1660195828383,1253
1350,415,1660195828283,861
1351,445,1660195828283,754
1352,480,1660195828283,827
1353,515,1660195828283,7747
1354,555,1660195828283,28010
1355,590,1660195828283,9920
1356,630,1660195828283,1915
1357,680,1660195828283,1250
