,Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm,Clear,NIR,LED
254,1685332544.2691731,7083,5456,839,294,7286,659,653,5710,4521,9990,530
255,1685332544.569173,7143,6310,5712,7000,2133,3046,6188,5275,8890,8535,940
256,1685332544.869173,2105,2005,4483,3968,7324,8152,7002,9176,7306,5385,580
257,1685332545.169173,9626,5448,2086,1842,1821,9703,6007,5035,9307,7320,600
258,1685332545.4691732,8840,9654,9290,1708,5692,4253,678,2509,457,4578,633
259,1685332545.7691731,7704,7150,9849,4383,2407,1091,4304,8757,5897,2013,670
260,1685332546.069173,8306,4433,2534,2535,8716,2571,4608,433,6417,7636,415
261,1685332546.369173,8095,6942,7472,4728,930,9686,8705,4278,4817,3266,460
262,1685332546.669173,7609,3349,4303,7644,5931,5688,9065,8278,9382,4967,470
263,1685332546.9691732,6860,6551,5245,458,6557,2608,216,5843,3632,2772,530
264,1685332547.2691731,4885,2892,4696,394,3096,9620,2255,7940,7868,9326,940
265,1685332547.569173,2005,8636,6273,8955,6598,1393,9232,2720,8269,3428,580
266,1685332547.869173,6625,9030,9353,9318,2456,8230,2506,494,6420,6293,600
267,1685332548.169173,4255,7246,2232,3520,8340,9678,7918,5254,9355,7097,633
268,1685332548.4691732,8667,1275,2877,154,6440,2678,8385,9054,1041,5967,670
269,1685332548.7691731,6360,7709,1220,1003,9945,8117,4398,805,3322,2181,415
270,1685332549.069173,5216,1650,1951,7406,3405,6264,6253,5412,4992,8893,460
271,1685332549.369173,5020,7550,7393,5671,5792,5646,3940,5113,3800,2942,470
272,1685332549.669173,7948,3739,6506,2092,486,4683,8453,246,8795,3652,530
273,1685332549.9691732,9803,8485,8333,2705,5624,5404,4277,1152,6135,5380,940
274,1685332550.2691731,581,6253,3054,3450,7980,6083,4745,3959,1871,1414,580
275,1685332550.569173,8338,9835,374,2733,5291,8713,3799,6856,291,9408,600
276,1685332550.869173,1677,6556,1297,1614,9474,9687,9021,819,7897,565,633
277,1685332551.169173,1898,8122,2280,2390,9213,9174,7052,7578,7628,920,670
278,1685332551.4691732,5752,5963,3769,3153,3576,8658,9287,3094,4854,2340,415
279,1685332551.7691731,8106,3877,1530,9293,7034,4852,1267,3282,7063,6227,460
280,1685332552.069173,7558,7594,3523,6563,6257,2957,7368,3456,9192,1945,470
281,1685332552.369173,3836,5405,8135,9439,7029,5308,7668,2998,7707,2890,530
282,1685332552.669173,354,8752,3751,2711,3271,4762,4234,5927,3367,9773,940
283,1685332552.9691732,4184,3397,6919,3910,4266,4361,4038,8785,576,2466,580
284,1685332553.2691731,5070,4564,1685,2754,330,8468,8119,4011,672,8185,600
285,1685332553.569173,7336,6949,8618,1227,6995,955,1865,475,9339,8313,633
286,1685332553.869173,6617,4619,4893,2828,1440,2185,8793,5945,789,7671,670
287,1685332554.169173,8056,9308,8902,5495,8905,4911,7648,3471,7162,9245,415
288,1685332554.4691732,6682,1882,4888,190,6809,2365,248,1969,6116,5142,460
289,1685332554.7691731,9601,2355,1528,3694,595,4808,9187,4770,1030,2209,470
290,1685332555.069173,2964,8251,709,4683,2131,8135,9717,2188,9627,9791,530
291,1685332555.369173,133,2492,5148,9138,1835,1396,7722,3105,8422,3702,940
292,1685332555.669173,3401,1724,8161,5232,1932,7834,8104,6935,7722,7899,580
293,1685332555.9691732,4234,1258,8437,6371,2868,1662,9651,3636,6324,9662,600
294,1685332556.2691731,5188,4115,831,5821,2064,194,1294,8643,3776,2411,633
295,1685332556.569173,9635,8423,5357,4211,6996,7601,9786,1915,4693,2657,670
296,1685332556.869173,7466,932,9405,4959,7904,4916,9533,7435,3881,3600,415
297,1685332557.169173,9261,6886,8158,6839,149,4331,4467,3316,4853,6172,460
298,1685332557.4691732,9744,6230,7375,6963,2202,2583,9269,1955,6803,5813,470
299,1685332557.7691731,6132,2728,2927,8341,7210,3753,8630,6970,9782,2045,530
300,1685332558.069173,4772,4368,1280,3850,5593,6604,6614,2340,3604,7490,940
301,1685332558.369173,4760,118,766,3203,2213,383,6517,1971,6243,2856,580
302,1685332558.669173,6534,4865,2319,2718,4967,2432,7417,3854,6440,6104,600
303,1685332558.9691732,2071,2260,8547,9036,6298,3160,7798,4041,1210,7415,633
304,1685332559.2691731,1994,4621,2415,8944,4143,6683,3742,8846,7687,9484,670
305,1685332559.569173,4416,3518,8898,7484,662,7791,5281,1211,213,9243,415
306,1685332559.869173,6129,7848,2396,1636,931,4663,326,5249,8059,3233,460
307,1685332560.169173,9521,6270,1470,4258,2049,5988,5555,3920,3277,7407,470
308,1685332560.4691732,6806,9580,1380,7059,743,1300,9021,5949,4635,2205,530
309,1685332560.7691731,4832,4769,6608,2354,9911,8845,224,9326,9746,4521,940
310,1685332561.069173,6822,6388,1316,3164,6222,1649,3199,9606,3403,3890,580
311,1685332561.369173,9884,6833,630,7955,9738,7835,5428,924,4820,7078,600
312,1685332561.669173,7045,4831,1113,1975,4627,7527,1646,6891,406,8317,633
313,1685332561.9691732,374,500,8931,698,7202,1228,5067,8136,9838,2662,670
314,1685332562.2691731,9272,8872,8259,8818,5535,4775,8915,6480,2481,6168,415
315,1685332562.569173,8140,4599,5036,5467,6793,8847,3113,8838,5102,3504,460
316,1685332562.869173,9202,4604,1221,7041,5839,2825,7026,4637,4967,3353,470
317,1685332563.169173,1634,7131,9165,1476,3719,319,3478,858,4761,9423,530
318,1685332563.4691732,5713,7410,1329,288,4064,1171,1297,3780,3846,6833,940
319,1685332563.7691731,6622,1287,672,6703,7221,7309,8665,9912,5376,5086,580
320,1685332564.069173,6463,6938,2942,1742,8549,4266,2525,2557,7787,2037,600
321,1685332564.369173,3237,2540,9199,1184,4504,5584,1993,7905,6058,5869,633
322,1685332564.669173,7056,692,6312,9671,7882,2582,7711,738,2909,3215,670
323,1685332564.9691732,2640,506,6323,2336,3455,3509,8799,8226,821,2368,415
324,1685332565.2691731,9811,3200,2728,6060,5286,9638,6249,5585,4517,4349,460
325,1685332565.569173,444,4721,5315,4279,8144,1392,751,107,7617,4627,470
326,1685332565.869173,9092,5806,3549,9709,5663,472,219,1727,3970,8339,530
327,1685332566.169173,4124,6129,899,6483,6175,1508,8174,3710,9494,8444,940
328,1685332566.4691732,7668,9390,7374,2524,6233,2317,2770,342,3285,7592,580
329,1685332566.7691731,3727,3573,5038,8212,6132,5085,5492,6483,1983,2798,600
330,1685332567.069173,2368,8642,3646,7290,9528,7206,4074,829,7791,2588,633
331,1685332567.369173,694,9430,7279,4620,9563,9404,7638,562,5906,3008,670
332,1685332567.669173,8875,9807,732,5525,5272,7849,4314,8743,1168,3587,415
